month,year,project,sum_passengers,avg_passenger_per_day,avg_passenger_normal_day,avg_passenger_holiday
9,2559,Train project ratchamongkol," 9,034,830 "," 291,446 "," 332,511 "," 216,782 "
10,2559,Train project ratchamongkol," 8,711,077 "," 290,369 "," 322,308 "," 202,539 "
11,2559,Train project ratchamongkol," 8,186,021 "," 264,065 "," 315,936 "," 169,754 "
0,2560,Train project ratchamongkol," 8,480,961 "," 273,579 "," 324,006 "," 181,895 "
1,2560,Train project ratchamongkol," 8,397,224 "," 299,901 "," 341,917 "," 216,976 "
2,2560,Train project ratchamongkol," 9,561,089 "," 308,422 "," 340,230 "," 216,976 "
3,2560,Train project ratchamongkol," 7,983,249 "," 266,108 "," 329,965 "," 193,129 "
4,2560,Train project ratchamongkol," 8,500,034 "," 274,195 "," 319,333 "," 192,124 "
5,2560,Train project ratchamongkol," 9,077,038 "," 302,568 "," 339,006 "," 202,362 "
6,2560,Train project ratchamongkol," 8,743,210 "," 282,039 "," 339,235 "," 191,479 "
7,2560,Train project ratchamongkol," 9,726,678 "," 313,764 "," 356,898 "," 208,325 "
8,2560,Train project ratchamongkol," 9,594,712 "," 319,824 "," 359,087 "," 228,210 "
9,2560,Train project ratchamongkol," 9,003,734 "," 300,124 "," 353,260 "," 208,345 "
10,2560,Train project ratchamongkol," 9,668,809 "," 322,294 "," 358,491 "," 222,752 "
11,2560,Train project ratchamongkol," 8,753,200 "," 282,361 "," 336,387 "," 196,821 "
0,2561,Train project ratchamongkol," 9,269,590 "," 299,019 "," 346,303 "," 199,724 "
1,2561,Train project ratchamongkol," 9,059,167 "," 323,542 "," 360,257 "," 231,754 "
2,2561,Train project ratchamongkol," 9,775,861 "," 315,350 "," 355,287 "," 231,483 "
3,2561,Train project ratchamongkol," 8,339,697 "," 277,990 "," 344,686 "," 190,772 "
4,2561,Train project ratchamongkol," 9,141,949 "," 294,902 "," 343,434 "," 206,662 "
5,2561,Train project ratchamongkol," 9,493,263 "," 316,442 "," 357,680 "," 220,220 "
6,2561,Train project ratchamongkol," 9,335,146 "," 301,134 "," 360,587 "," 193,037 "
7,2561,Train project ratchamongkol," 10,261,136 "," 331,004 "," 378,739 "," 214,320 "
8,2561,Train project ratchamongkol," 9,759,838 "," 325,328 "," 370,766 "," 234,453 "
9,2561,Train project ratchamongkol," 9,953,696 "," 321,087 "," 371,371 "," 215,490 "
10,2561,Train project ratchamongkol," 10,284,189 "," 342,806 "," 380,711 "," 238,568 "
11,2561,Train project ratchamongkol," 9,037,803 "," 291,542 "," 352,597 "," 207,004 "
0,2562,Train project ratchamongkol," 9,822,359 "," 316,850 "," 360,390 "," 210,419 "
1,2562,Train project ratchamongkol," 9,007,716 "," 321,704 "," 370,960 "," 217,720 "
2,2562,Train project ratchamongkol," 10,245,277 "," 330,493 "," 371,935 "," 243,464 "
3,2562,Train project ratchamongkol," 8,899,237 "," 296,641 "," 364,676 "," 194,589 "
4,2562,Train project ratchamongkol," 8,760,688 "," 302,093 "," 353,330 "," 204,743 "
5,2562,Train project ratchamongkol," 9,351,640 "," 311,721 "," 369,972 "," 211,106 "
6,2562,Train project ratchamongkol," 9,879,495 "," 318,693 "," 374,197 "," 217,778 "
7,2562,Train project ratchamongkol," 11,110,334 "," 358,398 "," 407,527 "," 255,228 "
8,2562,Train project ratchamongkol," 11,515,694 "," 383,856 "," 426,131 "," 285,215 "
9,2562,Train project ratchamongkol," 11,636,289 "," 375,364 "," 429,026 "," 262,674 "
10,2562,Train project ratchamongkol," 12,383,008 "," 412,767 "," 459,420 "," 332,185 "
11,2562,Train project ratchamongkol," 11,009,848 "," 366,995 "," 433,641 "," 279,842 "
0,2563,Train project ratchamongkol," 12,364,467 "," 398,854 "," 444,083 "," 288,295 "
1,2563,Train project ratchamongkol," 10,651,705 "," 367,300 "," 428,486 "," 251,046 "
2,2563,Train project ratchamongkol," 7,376,598 "," 237,955 "," 282,899 "," 128,090 "
3,2563,Train project ratchamongkol," 2,354,680 "," 78,489 "," 97,356 "," 34,468 "
4,2563,Train project ratchamongkol," 3,682,817 "," 118,801 "," 154,974 "," 74,876 "
5,2563,Train project ratchamongkol," 6,080,460 "," 202,682 "," 232,313 "," 133,543 "
6,2563,Train project ratchamongkol," 7,854,425 "," 253,369 "," 307,226 "," 168,094 "
7,2563,Train project ratchamongkol," 8,931,350 "," 288,108 "," 341,647 "," 190,764 "
8,2563,Train project ratchamongkol," 9,309,907 "," 310,330 "," 365,965 "," 199,061 "
9,2563,Train project ratchamongkol," 9,297,835 "," 299,930 "," 368,032 "," 176,109 "
10,2563,Train project ratchamongkol," 9,352,565 "," 311,752 "," 363,038 "," 223,167 "
11,2563,Train project ratchamongkol," 8,341,723 "," 269,088 "," 318,568 "," 179,124 "
0,2564,Train project ratchamongkol," 4,688,335 "," 151,237 "," 181,313 "," 96,552 "
1,2564,Train project ratchamongkol," 6,093,370 "," 217,620 "," 250,578 "," 158,297 "
2,2564,Train project ratchamongkol," 8,450,621 "," 272,601 "," 307,103 "," 173,407 "
3,2564,Train project ratchamongkol," 4,406,056 "," 146,869 "," 185,429 "," 96,443 "
4,2564,Train project ratchamongkol," 2,800,173 "," 90,346 "," 115,586 "," 56,696 "
5,2564,Train project ratchamongkol," 3,628,010 "," 120,934 "," 139,640 "," 77,286 "
6,2564,Train project ratchamongkol," 2,393,607 "," 77,213 "," 95,048 "," 44,786 "
7,2564,Train project ratchamongkol," 1,934,287 "," 62,396 "," 75,624 "," 34,617 "
8,2564,Train project ratchamongkol," 3,003,452 "," 100,115 "," 110,950 "," 74,833 "
9,2564,Train project ratchamongkol," 4,212,443 "," 135,885 "," 156,089 "," 107,911 "
10,2564,Train project ratchamongkol," 5,603,481 "," 186,783 "," 205,305 "," 135,846 "
7,2559,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 524,472 "," 20,172 "," 20,492 "," 19,568 "
8,2559,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 629,963 "," 20,999 "," 22,658 "," 16,437 "
9,2559,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 650,772 "," 20,993 "," 24,212 "," 15,140 "
10,2559,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 647,337 "," 21,578 "," 24,238 "," 14,264 "
11,2559,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 593,981 "," 19,161 "," 23,048 "," 12,093 "
0,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 634,552 "," 20,469 "," 24,282 "," 13,538 "
